epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
48,391,,,,,0.9642857313156128,0.13151602447032928
48,391,,,1.0,0.027289418503642082,,
49,399,,,,,0.9642857313156128,0.12960845232009888
49,399,,,1.0,0.026401538401842117,,
50,407,,,,,0.9642857313156128,0.1281278282403946
50,407,,,1.0,0.025586983188986778,,
51,415,,,,,0.9642857313156128,0.1269940286874771
51,415,,,1.0,0.0246100053191185,,
52,423,,,,,0.9642857313156128,0.12581348419189453
52,423,,,1.0,0.023855146020650864,,
53,431,,,,,0.9642857313156128,0.12433242052793503
53,431,,,1.0,0.02295827865600586,,
54,439,,,,,0.9642857313156128,0.12257196009159088
54,439,,,1.0,0.022145627066493034,,
55,447,,,,,0.9642857313156128,0.1206469014286995
55,447,,,1.0,0.021556306630373,,
56,455,,,,,0.9642857313156128,0.1202598363161087
56,455,,,1.0,0.02076125331223011,,
57,463,,,,,0.9642857313156128,0.11981890350580215
57,463,,,1.0,0.019999610260128975,,
58,471,,,,,0.9642857313156128,0.1189664974808693
58,471,,,1.0,0.019505077973008156,,
59,479,,,,,0.9642857313156128,0.1181085929274559
59,479,,,1.0,0.018855087459087372,,
60,487,,,,,0.9642857313156128,0.11733982712030411
60,487,,,1.0,0.01835375279188156,,
61,495,,,,,0.9642857313156128,0.11670577526092529
61,495,,,1.0,0.017814045771956444,,
62,503,,,,,0.9642857313156128,0.11557992547750473
62,503,,,1.0,0.017398172989487648,,
63,511,,,,,0.9642857313156128,0.10883332788944244
63,511,,,1.0,0.016425365582108498,,
64,519,,,,,0.9642857313156128,0.10574458539485931
64,519,,,1.0,0.016317255795001984,,
65,527,,,,,0.9642857313156128,0.10508357733488083
65,527,,,1.0,0.015790767967700958,,
66,535,,,,,0.9642857313156128,0.10538899898529053
66,535,,,1.0,0.015340413898229599,,
67,543,,,,,0.9642857313156128,0.10582298040390015
67,543,,,1.0,0.014909503981471062,,
68,551,,,,,0.9642857313156128,0.10691768676042557
68,551,,,1.0,0.01451120711863041,,
69,559,,,,,0.9642857313156128,0.10933340340852737
69,559,,,1.0,0.013982906937599182,,
70,567,,,,,0.9642857313156128,0.11076182872056961
70,567,,,1.0,0.013598019257187843,,
71,575,,,,,0.9642857313156128,0.11130531877279282
71,575,,,1.0,0.01322285458445549,,
72,583,,,,,0.9642857313156128,0.11108769476413727
72,583,,,1.0,0.01291985809803009,,
73,591,,,,,0.9642857313156128,0.11188329756259918
73,591,,,1.0,0.012651188299059868,,
74,599,,,,,0.9642857313156128,0.11199644953012466
74,599,,,1.0,0.012287517078220844,,
75,607,,,,,0.9642857313156128,0.11145900934934616
75,607,,,1.0,0.012091014534235,,
76,615,,,,,0.9642857313156128,0.11183909326791763
76,615,,,1.0,0.01174004003405571,,
77,623,,,,,0.9642857313156128,0.11176048219203949
77,623,,,1.0,0.011478434316813946,,
78,631,,,,,0.9642857313156128,0.1115635484457016
78,631,,,1.0,0.011208225041627884,,
79,639,,,,,0.9642857313156128,0.11161930114030838
79,639,,,1.0,0.010956083424389362,,
80,647,,,,,0.9642857313156128,0.11134262382984161
80,647,,,1.0,0.010723410174250603,,
81,655,,,,,0.9642857313156128,0.11223231256008148
81,655,,,1.0,0.01049061119556427,,
82,663,,,,,0.9642857313156128,0.11308888345956802
82,663,,,1.0,0.010238667018711567,,
83,671,,,,,0.9642857313156128,0.11335086822509766
83,671,,,1.0,0.010017890483140945,,
84,679,,,,,0.9642857313156128,0.11286722868680954
84,679,,,1.0,0.009808158501982689,,
85,687,,,,,0.9642857313156128,0.11306478083133698
85,687,,,1.0,0.009582309983670712,,
86,695,,,,,0.9642857313156128,0.11274039000272751
86,695,,,1.0,0.009405405260622501,,
87,703,,,,,0.9642857313156128,0.11311031132936478
87,703,,,1.0,0.009196598082780838,,
88,711,,,,,0.9642857313156128,0.11354436725378036
88,711,,,1.0,0.009026642888784409,,
89,719,,,,,0.9642857313156128,0.11386431753635406
89,719,,,1.0,0.008819719776511192,,
90,727,,,,,0.9642857313156128,0.11301378905773163
90,727,,,1.0,0.008665491826832294,,
91,735,,,,,0.9642857313156128,0.11361052095890045
91,735,,,1.0,0.008434955962002277,,
92,743,,,,,0.9642857313156128,0.11683555692434311
92,743,,,1.0,0.008369401097297668,,
93,751,,,,,0.9642857313156128,0.11763632297515869
93,751,,,1.0,0.008138200268149376,,
94,759,,,,,0.9642857313156128,0.11730138212442398
94,759,,,1.0,0.007966966368258,,
95,767,,,,,0.9642857313156128,0.11706087738275528
95,767,,,1.0,0.007798647973686457,,
96,775,,,,,0.9642857313156128,0.11589568108320236
96,775,,,1.0,0.00763109652325511,,
97,783,,,,,0.9642857313156128,0.11043553799390793
97,783,,,1.0,0.007370498031377792,,
98,791,,,,,0.9642857313156128,0.10827907174825668
98,791,,,1.0,0.007252050563693047,,
99,799,,,,,0.9642857313156128,0.10726841539144516
99,799,,,1.0,0.007198784966021776,,
100,800,1.0,0.01750636100769043,,,,
